48.768,3.4867,24.442,0
49.073,3.4992,24.442,0
49.378,3.5117,24.442,0
49.682,3.5241,24.442,0
49.987,3.5366,24.442,0
50.292,3.5491,24.442,0
50.597,3.5615,24.442,0
50.902,3.574,24.442,0
51.206,3.5865,24.442,0
51.511,3.599,24.442,0
51.816,3.6114,24.442,0
52.121,3.6239,24.503,4.9058
52.426,3.6363,24.564,4.8839
52.73,3.6487,24.624,4.8613
53.035,3.6611,24.684,4.8382
53.34,3.6734,24.743,4.8145
53.645,3.6857,24.802,4.7903
53.95,3.698,24.861,4.7657
54.254,3.7102,24.919,4.7407
54.559,3.7224,24.976,4.7154
54.864,3.7346,25.033,4.6897
55.169,3.7468,25.09,4.6637
55.474,3.7589,25.146,4.6376
55.778,3.771,25.202,4.6112
56.083,3.7831,25.258,4.5847
56.388,3.7952,25.313,4.558
56.693,3.8072,25.367,4.5313
56.998,3.8192,25.421,4.5045
57.302,3.8312,25.475,4.4776
57.607,3.8431,25.528,4.4508
57.912,3.8551,25.581,4.424
58.217,3.867,25.633,4.3972
58.522,3.8788,25.685,4.3705
58.826,3.8907,25.737,4.3439
59.131,3.9025,25.788,4.3174
59.436,3.9143,25.839,4.291
59.741,3.9261,25.889,4.2648
60.046,3.9379,25.939,4.2388
60.35,3.9496,25.988,4.213
60.655,3.9613,26.037,4.1874
60.96,3.973,26.086,4.162
61.265,3.9847,26.134,4.1368
61.57,3.9964,26.182,4.1119
61.874,4.008,26.23,4.0872
62.179,4.0196,26.277,4.0629
62.484,4.0312,26.324,4.0388
62.789,4.0428,26.37,4.015
63.094,4.0543,26.416,3.9916
63.398,4.0658,26.462,3.9684
63.703,4.0773,26.508,3.9456
64.008,4.0888,26.553,3.9231
64.313,4.1003,26.598,3.901
64.618,4.1118,26.642,3.8792
64.922,4.1232,26.686,3.8578
65.227,4.1346,26.73,3.8368
65.532,4.146,26.773,3.8161
65.837,4.1574,26.817,3.7958
66.142,4.1687,26.859,3.7758
66.446,4.1801,26.902,3.7563
66.751,4.1914,26.944,3.7371
67.056,4.2027,26.986,3.7183
67.361,4.214,27.028,3.7
67.666,4.2252,27.07,3.682
67.97,4.2365,27.111,3.6644
68.275,4.2477,27.152,3.6473
68.58,4.2589,27.193,3.6305
68.885,4.2701,27.233,3.6142
69.19,4.2813,27.274,3.5983
69.494,4.2925,27.314,3.5827
69.799,4.3036,27.353,3.5676
70.104,4.3148,27.393,3.553
70.409,4.3259,27.432,3.5387
70.714,4.337,27.471,3.5249
71.018,4.3481,27.51,3.5115
71.323,4.3592,27.549,3.4985
71.628,4.3702,27.588,3.4858
71.933,4.3813,27.626,3.4736
72.238,4.3923,27.664,3.4616
72.542,4.4033,27.702,3.45
72.847,4.4143,27.74,3.4387
73.152,4.4253,27.778,3.4276
73.457,4.4362,27.815,3.4169
73.762,4.4472,27.853,3.4063
74.066,4.4581,27.89,3.396
74.371,4.469,27.927,3.3859
74.676,4.4799,27.964,3.376
74.981,4.4908,28,3.3663
75.286,4.5017,28.037,3.3567
