4.572,0.87118,0.87117
6.096,0.87947,0.87946
7.62,0.88944,0.88952
9.144,0.90156,0.90183
10.668,0.91644,0.91624
12.192,0.93625,0.93264
13.716,0.95684,0.95087
15.24,0.94307,0.97074
16.764,0.86006,0.99205
18.288,0.79383,1.0146
19.812,0.72964,1.0383
21.336,0.63816,1.0631
22.86,0.54942,1.089
24.384,0.50212,1.1161
25.908,0.43108,1.1445
27.432,0.35933,1.1746
28.956,0.31689,1.2066
30.48,0.25523,1.2411
32.004,0.18566,1.2788
33.528,0.13677,1.3204
35.052,0.072735,1.3671
36.576,0.012586,1.4205
38.1,-0.0040173,1.4816
39.624,-0.0014594,1.5494
